,0,1,2,3,4,5,6,7,8,9,10
0,273.45,99.0,,271.05,,0.4,0.1,,270.75,8.05,0.0
1,275.45,99.0,6.0,275.45,4.3,0.3,0.0,,272.95,2.9,0.0
2,271.65,99.0,8.3,271.65,0.6,0.35,0.05,,272.65,1.4,0.0
3,268.85,18.0,0.0,258.35,-13.3,0.5,0.0,0.05,261.15,4.05,0.0
4,278.65,37.0,0.0,268.85,-2.8,0.5,0.0,0.0,267.15,6.8,0.0
5,276.55,75.0,0.0,275.35,17.0,0.5,0.0,0.0,270.15,7.75,0.0
6,280.15,63.0,0.0,275.55,6.7,0.5,0.0,0.0,273.15,5.0,0.0
7,277.85,50.0,0.0,277.35,2.0,0.47,0.0,0.0,272.65,7.45,0.0
8,272.95,57.0,0.0,272.25,-3.3,0.47,0.0,0.0,270.35,6.05,0.0
9,272.65,91.0,0.0,272.65,-4.7,0.45,0.0,0.0,269.15,4.35,0.0
10,269.15,88.0,0.0,268.85,-3.4,0.45,0.0,0.0,269.25,2.45,0.0
11,269.75,51.0,0.0,269.15,-3.5,0.45,0.0,0.0,263.65,6.5,0.0
12,273.05,45.0,0.0,269.45,0.6,0.45,0.0,0.0,266.35,6.4,0.0
13,275.15,83.0,1.0,273.05,3.9,0.45,0.01,0.01,271.55,3.7,0.0
14,277.95,83.0,0.5,272.75,3.3,0.45,0.0,0.01,271.85,3.55,0.0
15,277.25,87.0,,,,0.4,0.0,0.01,273.15,,0.0
16,276.85,74.0,,273.25,0.5,0.35,0.0,0.01,272.35,3.2,0.0
17,273.25,99.0,5.7,273.25,,0.37,0.02,0.02,272.35,3.2,0.0
18,271.35,62.0,0.4,267.75,-5.5,0.4,0.04,0.06,271.15,1.65,0.0
19,276.05,99.0,5.8,271.25,3.5,0.39,0.01,0.07,272.35,1.3,0.0
20,279.55,42.0,0.0,278.85,7.6,0.39,0.0,0.01,270.45,10.4,0.0
21,279.95,31.0,0.0,273.15,1.9,0.39,0.0,0.01,267.55,10.7,0.0
22,279.05,40.0,0.0,279.05,0.2,0.37,0.0,0.0,271.55,10.2,0.0
23,277.45,42.0,0.0,275.05,1.9,0.37,0.0,0.0,271.35,7.3,0.0
24,272.75,89.0,0.0,272.75,-6.3,0.37,0.0,0.0,268.85,7.65,0.0
25,272.85,99.0,0.0,272.85,-2.2,0.37,0.0,0.0,271.55,3.7,0.0
26,270.25,45.0,0.0,269.45,-3.3,0.37,0.0,0.0,272.65,-0.6,0.0
27,262.95,42.0,0.0,260.65,-8.8,0.37,0.0,0.0,260.65,1.75,0.0
28,266.05,40.0,,264.15,-5.3,0.38,0.0,0.0,264.15,4.3,0.0
29,268.75,42.0,0.0,264.15,3.5,0.37,0.0,0.0,263.15,5.3,0.0
30,269.35,48.0,0.0,265.35,1.2,0.37,0.0,0.0,264.55,5.2,0.0
31,270.45,41.0,0.0,268.85,4.7,0.37,0.0,0.0,265.05,7.25,0.0
32,267.35,52.0,0.0,266.35,1.0,0.37,0.0,0.0,264.15,6.7,0.0
33,269.55,82.0,0.0,267.15,-1.7,0.37,0.0,0.0,267.75,2.9,0.0
34,270.45,90.0,13.4,267.95,1.6,0.65,0.25,0.25,269.95,1.1,0.0
35,268.65,99.0,4.0,267.25,0.1,0.68,0.05,0.3,270.55,-0.2,0.0
36,265.65,97.0,1.9,265.65,-2.3,0.65,0.01,0.31,268.05,-0.15,0.0
37,266.75,88.0,0.0,262.35,-4.9,0.63,0.0,0.31,265.35,1.2,0.0
